"gene","p"
"LGR5",0.415624202809362
"PSMB8",0.415701704369957
"Z97989.1",0.418832132045373
"TENM4",0.419563804994695
"IGLV5-45",0.42052374431894
"LINC00942",0.420724534849278
"SLC1A3",0.420919924054461
"AKR7A3",0.422492649432563
"TPMTP1",0.42449145324082
"ANGPT2",0.425106547698777
"VCAN",0.425794288106661
"CHST5",0.426286995937175
"AL121832.1",0.426983008817157
"CD6",0.427371817645217
"IL6R",0.427506008233176
"GNG5",0.42790764601329
"PLA2G2A",0.429247880791735
"IGLV1-51",0.429601486966066
"XDH",0.432600953107079
"GUCY1A1",0.433308841982455
"MMP9",0.433334046714088
"PACRG",0.434575701137369
"PLAAT4",0.43583371785307
"RGS7BP",0.438983015575574
"RILP",0.440060189663066
"AK5",0.440794257967929
"IGLV2-34",0.44274328562557
"IGHV3-62",0.443058106654503
"AKR1B10",0.444460969120789
"IGLV7-46",0.444528027886955
"AC004687.1",0.444788668003179
"IFI27",0.445579028379574
"HES5",0.446108055000645
"TYMSOS",0.446323132983042
"CA2",0.447013907840062
"PLPP4",0.448383118801777
"GPC6",0.448408640301545
"PI3",0.448675449833896
"PPP1R3C",0.448883666618309
"CD3G",0.449527649713867
"NUDT8",0.45063157216265
"OR2I1P",0.45178184037858
"IGHV4-39",0.45180989833666
"COL1A2",0.45529124176478
"IGHV1-46",0.45713448984177
"TRGC1",0.458103782629812
"STYK1",0.460304763901458
"TENT5C",0.460648825500851
"IBSP",0.460790380401891
"SLC6A6",0.461216324905166
"JCHAIN",0.463781297526667
"HLA-DPA1",0.46379607394284
"DSEL",0.46431695421591
"FILIP1L",0.464472437758278
"SPARC",0.465849792116567
"ARHGAP9",0.466460969577113
"B3GNT7",0.467579485795612
"C1QTNF12",0.467740864711716
"ITGA11",0.468276673203151
"Y_RNA",0.468671441919897
"PSMB9",0.468748757152306
"PHLDA1",0.47115988407252
"CDC42EP5",0.47179006405154
"MAP4K1",0.473483730658768
"JAKMIP2",0.474206458864207
"ZAP70",0.474842353149231
"COL15A1",0.475036772076782
"SULF1",0.475677306932723
"HCST",0.476122991752464
"COL6A3",0.476595598071294
"C11orf86",0.47793364354323
"GZMM",0.478952877683368
"BTNL8",0.479007497414963
"HDAC2-AS2",0.481626957209651
"FLJ46284",0.481989644973647
"PRDM5",0.482142065828363
"CD38",0.48341858810327
"APOLD1",0.483733883656644
"IGKV1D-13",0.486025491496705
"PLPPR4",0.486346691024412
"IGKV3D-20",0.48947369674244
"IL32",0.489626911726467
"COL24A1",0.490631851630788
"CEACAM7",0.490709604723698
"IGHV3-71",0.491437376628963
"CENPM",0.49144408585222
"KIF26B",0.491688822629821
"AC093908.1",0.493000658543994
"LINC01558",0.493303727697049
"IGHJ3P",0.493898091591707
"PPFIA2",0.494163246313191
"ADAM12",0.494453589245484
"TRBV5-1",0.495492142645666
"CD19",0.496516812935293
"AC016582.3",0.49810574999667
"IGLV10-54",0.498761043561563
"IGLV4-60",0.499256884750836
"AC007493.1",0.499311423417009
"RUNX2",0.499332116043097
"IKZF3",0.500229279639937
"ROBO2",0.501182176923206
"TCF4",0.502924975948117
"PLAC8",0.503334700219147
"IGLV3-16",0.503638377316888
"MLF1",0.504597771387236
"IGLV1-36",0.504894183756128
"SOCS1",0.50677473563744
"AC007406.3",0.507518927571903
"LEF1",0.510513572038051
"TUBAL3",0.511403359826455
"DERL3",0.513092040814213
"IDO1",0.513680873555385
"IGKJ1",0.514826334907874
"SIGLEC8",0.515281729462206
"KLRB1",0.515764759939377
"HPGD",0.516708507816504
"CD2",0.516815628706305
"TRAC",0.516930455249789
"TRBV7-9",0.517472311641866
"OASL",0.518236176430554
"COL1A1",0.519151861729285
"IGHV3OR16-8",0.519578406338682
"LINC00622",0.519878769359518
"GPR1",0.520195261679079
"COL3A1",0.520969911147377
"CD3D",0.520982792588291
"HTR2A",0.524819919169435
"LINC00996",0.526329896337771
"CRTAM",0.526773902774607
"TEX11",0.527318341358847
"SHISA2",0.528178588396606
"CHI3L1",0.528307910931605
"ITGAL",0.528765539037314
"IGLV2-18",0.53001299740732
"TWIST1",0.531446882035625
"PDCD1",0.533458325057513
"GPR176",0.534549568111118
"AC096751.2",0.536150465371211
"FNDC1",0.538420068541238
