"gene","HR","p","adj_p"
"P2RX5",1.24864324528053,0.0494497007971428,0.563061719160743
"MXRA8",1.1507994818021,0.0491392004776659,0.563061719160743
"STK32A",1.50652729454477,0.0486581608474913,0.563061719160743
"ARMCX2",1.17225140680963,0.0491953952675107,0.563061719160743
"AC004837.2",0.814291258447101,0.0480461484784811,0.563061719160743
"SGCE",1.28029769458234,0.0503325068197921,0.568294670974121
"CXCR6",0.83533291198758,0.0507480850094971,0.568294670974121
"MAP1B",1.15996073393167,0.0512341386565772,0.569034900652968
"ITGA5",1.13625032085944,0.0528201971787656,0.581881033961198
"ISM1",1.14036771528223,0.053799266623878,0.583643307600407
"BMPR1B",1.25841131851392,0.0547030996791525,0.583643307600407
"GDF6",1.39528626260363,0.0543715884937745,0.583643307600407
"SMIM10",1.16505975760041,0.0543251967587681,0.583643307600407
"LINC00571",0.66920922456945,0.0555901214359967,0.588473551138871
"RCN3",1.1591022841976,0.0562035872744542,0.590355509743298
"ETV7",0.856402617948986,0.0574068689637782,0.59221197221099
"HOXD1",1.28318847260752,0.0583867474495855,0.59221197221099
"PHLDB2",1.16633161207559,0.0584382198532739,0.59221197221099
"SLC6A17",1.54319629299387,0.0585656120120093,0.59221197221099
"AC099792.1",0.747382275222143,0.0569650015138876,0.59221197221099
"CNTN1",1.18425863888602,0.0758435282451796,0.594549319917641
"LTBP1",1.15527786782048,0.0668936476965859,0.594549319917641
"ADCY2",1.51095881625808,0.0744742343774996,0.594549319917641
"MEOX2",1.1520543208999,0.0625690943042632,0.594549319917641
"EFEMP1",1.10623057674274,0.0760420732446256,0.594549319917641
"HS3ST2",1.19415943581949,0.0725585668280835,0.594549319917641
"OBSL1",1.12302037242037,0.0746600285935543,0.594549319917641
"GLIS2",1.16472231696544,0.0638388125909112,0.594549319917641
"ISLR",1.11032502777404,0.0686938997851008,0.594549319917641
"SLC6A8",1.11851819861641,0.0772255943214058,0.594549319917641
"CYP1B1",1.11490867380376,0.0712052784553983,0.594549319917641
"ARMH4",1.25224974526946,0.0675981192754478,0.594549319917641
"NLRC5",0.841303748906614,0.0708123340577586,0.594549319917641
"ADAMTS10",1.23165639118166,0.0684097200856878,0.594549319917641
"UCN2",0.786459396610382,0.0639841371805971,0.594549319917641
"SLIT2",1.15831256021929,0.0644930015450995,0.594549319917641
"ADAMTS16",1.19599943705713,0.0681683098859472,0.594549319917641
"DPYSL4",1.25672504001183,0.0764387372731544,0.594549319917641
"CACNA2D1",1.1691056338157,0.074900404591386,0.594549319917641
"CXCL13",0.916568423009555,0.0714151986397658,0.594549319917641
"ITIH3",1.16031416386149,0.0766817203999666,0.594549319917641
"EBF1",1.21274909898889,0.0746464200178314,0.594549319917641
"HTRA1",1.13888764236383,0.077017242632779,0.594549319917641
"TAP1",0.8694897393611,0.0728771247615911,0.594549319917641
"MAL",1.15226694417145,0.0742545326315828,0.594549319917641
"C1QA",1.11975557258816,0.0709868713102084,0.594549319917641
"LY6H",1.21365686846457,0.0765186352828736,0.594549319917641
"RPRM",1.19320958328196,0.0717575354709236,0.594549319917641
"SLITRK4",1.45891401449885,0.0624582970192942,0.594549319917641
"FAM180A",1.21630800267624,0.0629923374708825,0.594549319917641
"RAMP2-AS1",1.29033246806223,0.0710379937944817,0.594549319917641
"APCDD1L",1.24948438525986,0.0725547584481045,0.594549319917641
"CALML3-AS1",2.02390574840306,0.0670004957865504,0.594549319917641
"DIO2",0.854835041021683,0.0599453713110245,0.594549319917641
"LINC02418",0.926308196819388,0.0724382364999904,0.594549319917641
"UBE2QL1",1.26254635798214,0.0743094369586077,0.594549319917641
"SUGT1P3",0.777061823815437,0.0600591482973479,0.594549319917641
"STON1",1.16885554225745,0.0661033215452273,0.594549319917641
"APELA",0.645710798518742,0.0685631679674947,0.594549319917641
"LINC02251",0.800583247718156,0.0766923913715254,0.594549319917641
"PCDHB16",1.16766040306243,0.0771485613542917,0.594549319917641
"NKILA",1.17191489094143,0.0639946547550295,0.594549319917641
"GLRB",1.25014630838589,0.0795148427172754,0.603462173762959
"LRRC17",1.20242561554188,0.0807953200174156,0.603462173762959
"ATP8A2",1.55028817589288,0.0807461836352988,0.603462173762959
"PLXNA4",1.2542105170267,0.0810554358855045,0.603462173762959
"TMEM233",1.32415987868017,0.080271560322856,0.603462173762959
"LINC01096",1.30861397782031,0.079891404471833,0.603462173762959
"E2F2",0.829262069754572,0.0818613971197096,0.604653778453326
"LAG3",1.15741616599486,0.0832122641907592,0.604653778453326
"COMP",1.06846267028521,0.0828503122774338,0.604653778453326
"PCDHB6",1.31682137263583,0.0834466838160679,0.604653778453326
"PSMB9",0.877211111915487,0.0828101935887209,0.604653778453326
"MEIS3",1.18433347784038,0.0897245696004857,0.617406432869626
"WNT2",0.892683826016239,0.0924562990816749,0.617406432869626
"NRK",1.26770768487033,0.0902635457658136,0.617406432869626
"SLC6A6",0.897944562218626,0.0904776041494785,0.617406432869626
"PDLIM4",1.12965782099813,0.0870294281315926,0.617406432869626
